message_id,channel_name,class_name,confidence,image_category,image_path
10,CheMed123,none,0.0,other,data/raw/images\CheMed123\10.jpg
11,CheMed123,clock,0.4273,promotional,data/raw/images\CheMed123\11.jpg
13,CheMed123,hot dog,0.5039,promotional,data/raw/images\CheMed123\13.jpg
13,CheMed123,donut,0.399,promotional,data/raw/images\CheMed123\13.jpg
13,CheMed123,hot dog,0.3097,promotional,data/raw/images\CheMed123\13.jpg
14,CheMed123,none,0.0,other,data/raw/images\CheMed123\14.jpg
15,CheMed123,none,0.0,other,data/raw/images\CheMed123\15.jpg
17,CheMed123,bottle,0.526,promotional,data/raw/images\CheMed123\17.jpg
17,CheMed123,bottle,0.4945,promotional,data/raw/images\CheMed123\17.jpg
17,CheMed123,bottle,0.4318,promotional,data/raw/images\CheMed123\17.jpg
17,CheMed123,bottle,0.3874,promotional,data/raw/images\CheMed123\17.jpg
17,CheMed123,bottle,0.385,promotional,data/raw/images\CheMed123\17.jpg
17,CheMed123,bottle,0.3799,promotional,data/raw/images\CheMed123\17.jpg
17,CheMed123,bottle,0.3749,promotional,data/raw/images\CheMed123\17.jpg
17,CheMed123,bottle,0.3264,promotional,data/raw/images\CheMed123\17.jpg
18,CheMed123,none,0.0,other,data/raw/images\CheMed123\18.jpg
19,CheMed123,person,0.9401,promotional,data/raw/images\CheMed123\19.jpg
19,CheMed123,person,0.9277,promotional,data/raw/images\CheMed123\19.jpg
19,CheMed123,dining table,0.3616,promotional,data/raw/images\CheMed123\19.jpg
19,CheMed123,dining table,0.3222,promotional,data/raw/images\CheMed123\19.jpg
2,CheMed123,bottle,0.3872,promotional,data/raw/images\CheMed123\2.jpg
20,CheMed123,person,0.9401,promotional,data/raw/images\CheMed123\20.jpg
20,CheMed123,person,0.9277,promotional,data/raw/images\CheMed123\20.jpg
20,CheMed123,dining table,0.3616,promotional,data/raw/images\CheMed123\20.jpg
20,CheMed123,dining table,0.3222,promotional,data/raw/images\CheMed123\20.jpg
21,CheMed123,none,0.0,other,data/raw/images\CheMed123\21.jpg
22,CheMed123,none,0.0,other,data/raw/images\CheMed123\22.jpg
23,CheMed123,cell phone,0.6107,promotional,data/raw/images\CheMed123\23.jpg
25,CheMed123,cell phone,0.8613,promotional,data/raw/images\CheMed123\25.jpg
25,CheMed123,person,0.6284,promotional,data/raw/images\CheMed123\25.jpg
26,CheMed123,person,0.8276,promotional,data/raw/images\CheMed123\26.jpg
26,CheMed123,cup,0.4267,promotional,data/raw/images\CheMed123\26.jpg
26,CheMed123,book,0.3177,promotional,data/raw/images\CheMed123\26.jpg
26,CheMed123,book,0.3131,promotional,data/raw/images\CheMed123\26.jpg
27,CheMed123,none,0.0,other,data/raw/images\CheMed123\27.jpg
29,CheMed123,person,0.6185,promotional,data/raw/images\CheMed123\29.jpg
29,CheMed123,surfboard,0.5945,promotional,data/raw/images\CheMed123\29.jpg
29,CheMed123,person,0.528,promotional,data/raw/images\CheMed123\29.jpg
3,CheMed123,none,0.0,other,data/raw/images\CheMed123\3.jpg
30,CheMed123,person,0.4139,promotional,data/raw/images\CheMed123\30.jpg
31,CheMed123,bottle,0.5125,promotional,data/raw/images\CheMed123\31.jpg
31,CheMed123,bottle,0.4973,promotional,data/raw/images\CheMed123\31.jpg
31,CheMed123,bottle,0.435,promotional,data/raw/images\CheMed123\31.jpg
31,CheMed123,bottle,0.3881,promotional,data/raw/images\CheMed123\31.jpg
31,CheMed123,bottle,0.388,promotional,data/raw/images\CheMed123\31.jpg
31,CheMed123,bottle,0.3832,promotional,data/raw/images\CheMed123\31.jpg
31,CheMed123,bottle,0.3769,promotional,data/raw/images\CheMed123\31.jpg
31,CheMed123,bottle,0.3328,promotional,data/raw/images\CheMed123\31.jpg
32,CheMed123,person,0.5882,promotional,data/raw/images\CheMed123\32.jpg
33,CheMed123,orange,0.6712,promotional,data/raw/images\CheMed123\33.jpg
33,CheMed123,orange,0.5761,promotional,data/raw/images\CheMed123\33.jpg
34,CheMed123,none,0.0,other,data/raw/images\CheMed123\34.jpg
38,CheMed123,none,0.0,other,data/raw/images\CheMed123\38.jpg
39,CheMed123,mouse,0.9114,promotional,data/raw/images\CheMed123\39.jpg
39,CheMed123,mouse,0.9019,promotional,data/raw/images\CheMed123\39.jpg
39,CheMed123,mouse,0.893,promotional,data/raw/images\CheMed123\39.jpg
39,CheMed123,mouse,0.6238,promotional,data/raw/images\CheMed123\39.jpg
39,CheMed123,mouse,0.594,promotional,data/raw/images\CheMed123\39.jpg
